name,price,url,description
Consola Sony Playstation 5 Ps5 825 GB Lector De Disco,2679999,,"Nueva Consola PlayStation® 5  Experimenta una velocidad sorprendente de carga con una inmersión más intensa gracias a la SSD de ultra alta velocidad, compatible con retrolimentación háptica, gatillos adaptables y audio 3D, y una generación totalmente nueva de increíbles juegos de PlayStation®. Velocidad sorprendente: Disfruta de la potencia de una CPU, una GPU y una SSD personalizadas con E/S integradas que redefinirán lo que una consola PlayStation® puede hacer. Inmersión impresionante :Descubre una experiencia de juego más inmersiva con soporte para retroalimentación háptica, gatillos adaptables y tecnología de audio en 3D. Juegos asombrosos: Maravíllate con asombrosos gráficos y descubre las nuevas funciones de PS5™.  Experimenta un nuevo mundo de inmersión con PlayStation®5. Descubre la respuesta háptica, gatillos adaptativos y audio 3D audio en PS5. Play Has No Limits™  CARACTERISTICAS  Motor de gráficos basado en AMD Radeon ™ RDNA 2 Aceleración Ray Tracing Frecuencia variable, hasta 2.23 GHz (10.3 teraflops)

https://www.exito.com/consola-playstation-5-ps5-sony-101027522-mp/p"
Consola Xbox Series X 1Tb Microsoft,2649999,,"¡A JUGAR! Desde aventuras futuras, hasta juegos actuales, pasando por títulos clásicos... miles de títulos favoritos entre cuatro generaciones de Xbox se ven y juegan mejor en Xbox Series X.  Incluye:      Consola Xbox Series X 1TB     Control inalambrico     Cable HDMI     Cable de Poder     Manuales

https://www.exito.com/consola-xbox-series-x-1tb-microsoft-101154798-mp/p"
Barra Sonido 2.1Ch Kalley K Abs80sw 80W,399900,https://www.exito.com/barra-sonido-21ch-kalley-kabs80sw-80w-100027440-mp/p," La barra KALLEY ABS 80W es una opción elegante y económica que te permite escuchar mejor tus películas y series favoritas con un sonido de calidad en tu TV. Viene con un Subwoofer de 40W inalámbrico que te permite escuchar tu música con una mejor respuesta de graves y el sonido en general adquiere una mayor riqueza. Solamente funciona con cable y es ideal para ubicar en espacios interiores. ¡Experimenta un sonido envolvente, y adquiere la tuya ahora! Especificaciones destacadas   • Conectividad Bluetooth, transmite música desde tu teléfono • Puerto HDMI, transporta el video fácilmente hasta el TV • Puerto USB, reproduce directamente archivos de audio"
Torre de Sonido 300W SAMSUNG MXT40/ZL,579900,https://www.exito.com/giga-party-audio-all-in-one-samsung-mx-t40zl-3000312/p,
Televisor SAMSUNG 50 Pulgadas LED Uhd4K Smart TV UN50CU7000KXZL,1499900,https://www.exito.com/televisor-samsung-50-pulgadas-led-uhd-4k-smart-tv-un50cu7000kxzl-3133163/p,
Lavadora Inducol Semiautomática 7Kg,780759,https://www.luegopago.com/productos/lavadora-inducol-semiautomatica-7kg,
Ventilador Samurai Tropical Plus Color de la estructura Negro ,279000,https://www.luegopago.com/productos/ventilador-samurai-tropical-plus ,"Potente flujo de aire, malla frontal removible que facilita la limpieza, cuenta con una malla que no permite el contacto con la hélice, oscilación horizontal para una mayor distribución del aire, exclusivo sistema fácil y seguro para ajustar la inclinación vertical.  POTENCIA: 70 Watts. PULGADAS: 18. TIPO: Pedestal. MATERIAL: Plástico. VELOCIDADES: 3. GARANTÍA: 24 meses. CANTIDAD DE ASPAS: 3."
Horno Microondas de 20 Litros Inducol ,252000,https://www.luegopago.com/productos/horno-microondas-inducol-de-20-litros ,
"Ventilador Inducol 3 en 1: Pedestal, Mesa, Pared ",101520,https://www.luegopago.com/productos/ventilador-inducol-3-en-1-pedestal-mesa-pared ,
Lavadora WHIRLPOOL Carga Superior 20KG WW20LTAHLA Gris ,2029900,https://www.alkosto.com/lavadora-whirlpool-carga-superior-20kg-ww20ltahla-gris/p/7708228051547 ,
Nevera WHIRLPOOL No Frost Congelador Superior 263 Litros WRW25CKTWW Gris ,1859900,https://www.alkosto.com/nevera-whirlpool-no-frost-congelador-superior-263-litros-wrw25cktww-gris/p/7704353383652 ,
Lavadora WHIRLPOOL Carga Superior 17KG WW17KTAHLA Negro ,1899900,https://www.alkosto.com/lavadora-whirlpool-carga-superior-17kg-ww17ktahla-negro/p/7708228051202 ,
