title,description,date,user_id,published
Your Ultimate Baby Shower,"**What Is a Baby Shower?**",2024-04-05 16:30:00,1,true
Awaiting Miracles Baby Shower,"Join us in a whimsical celebration as we anticipate the arrival of our little miracle, surrounded by love and joy.",2024-05-22 13:45:00,1,false
Seaside Romance Wedding,Breathtaking views and gentle ocean breezes set the stage for a love-filled ceremony by the glistening shores.,null,2,true
Blooming Blessings Baby Shower,"Embrace the beauty of new life amidst a garden blooming with blessings, laughter, and heartfelt moments.",2024-08-28 14:00:00,2,true
Moonlit Elegance Wedding,"Under the soft glow of the moon, we unite in timeless elegance, promising forever in a night of pure magic.",2024-09-18 17:30:00,3,true
Wonderland Baby Shower,"Step into a whimsical wonderland where imagination knows no bounds, as we celebrate the impending arrival of joy.",2024-10-30 19:00:00,4,true
Regal Palace Wedding,"Enter a world of opulence and grandeur as we exchange vows in a majestic palace, a fairy tale brought to life.",null,5,true
Starry Night Baby Bash,"Beneath a blanket of stars, join us for an enchanting soirée celebrating the newest star about to grace our lives.",2024-12-05 11:30:00,6,true
Golden Autumn Wedding,"Amidst the golden hues of fall, we gather to celebrate love in its most vibrant season, a tableau of warmth and joy.",2024-12-20 16:00:00,7,true
Sprinkle of Joy Baby Shower,"Showering our bundle of joy with sprinkles of happiness and love, as we eagerly await their sweet arrival.",2024-12-05 11:30:00,8,true
